[52.382566, -2.605961]
[53.906455, -2.162291]
[51.819279, -1.278415]
[51.878469, -0.171805]
[51.45357, 0.055338]

[53.797141, -1.544856]
[51.397725, -0.455371]
[54.796246, -1.572153]


[55.045111, -1.472098]
[51.257405, -0.001715]
[54.286163, -6.374533]
[52.387078, -1.507311]
[51.877397, -0.408782]
[51.565827, 0.47065]
[53.535606, -2.02914]
[53.411535, -2.92894]
[50.266481, -4.915995]
[50.725225, -1.892511]
[53.521643, -0.094701]
[51.483431, 0.288307]
[53.964168, -1.075753]
[50.932628, -1.395596]
[53.60509, -2.165915]
[55.898628, -4.384362]
[51.517674, -0.07826]
[51.022396, -0.355808]
[52.496031, -1.85335]
[52.62989, -1.133419]
[54.961993, -1.452027]


[51.916875, -0.190331]
[54.446808, -6.329908]
[53.744954, -1.648666]
[57.177071, -2.122606]
[51.333607, -1.766375]
[54.934988, -1.377493]
[50.868502, -2.118003]
[52.509598, -2.112404]
[51.794723, -3.215651]
[54.693248, -5.8992]

[51.374102, 0.110798]
[51.398984, 0.01346]
